,estimator,mean_score,max_score,std_score,learning_rate,max_depth,min_samples_leaf,min_score,n_estimators,n_neighbors
39,DecisionTreeClassifier,0.2603452529948694,0.2815533980582524,0.016316188297329916,,3,1,0.2388235294117647,,
41,DecisionTreeClassifier,0.2603452529948694,0.2815533980582524,0.016316188297329916,,3,3,0.2388235294117647,,
40,DecisionTreeClassifier,0.2603452529948694,0.2815533980582524,0.016316188297329916,,3,2,0.2388235294117647,,
43,DecisionTreeClassifier,0.2603452529948694,0.2815533980582524,0.016316188297329916,,3,5,0.2388235294117647,,
42,DecisionTreeClassifier,0.2603452529948694,0.2815533980582524,0.016316188297329916,,3,4,0.2388235294117647,,
34,DecisionTreeClassifier,0.24604363959123354,0.2699167657550535,0.02476271376062098,,2,1,0.20470588235294118,,
35,DecisionTreeClassifier,0.24604363959123354,0.2699167657550535,0.02476271376062098,,2,2,0.20470588235294118,,
36,DecisionTreeClassifier,0.24604363959123354,0.2699167657550535,0.02476271376062098,,2,3,0.20470588235294118,,
37,DecisionTreeClassifier,0.24604363959123354,0.2699167657550535,0.02476271376062098,,2,4,0.20470588235294118,,
38,DecisionTreeClassifier,0.24604363959123354,0.2699167657550535,0.02476271376062098,,2,5,0.20470588235294118,,
45,KNeighborsClassifier,0.21928584544090826,0.2448733413751508,0.029144947701265356,,,,0.16588235294117648,,2
28,DecisionTreeClassifier,0.22047101367414806,0.23786407766990292,0.02339807617687471,,,5,0.17411764705882352,,
7,AdaBoostClassifier,0.2118529439246429,0.2366504854368932,0.022617090541086144,,,,0.17058823529411765,15,
6,AdaBoostClassifier,0.2118529439246429,0.2366504854368932,0.022617090541086144,,,,0.17058823529411765,13,
5,AdaBoostClassifier,0.2118529439246429,0.2366504854368932,0.022617090541086144,,,,0.17058823529411765,11,
4,AdaBoostClassifier,0.2118529439246429,0.2366504854368932,0.022617090541086144,,,,0.17058823529411765,9,
3,AdaBoostClassifier,0.2118529439246429,0.2366504854368932,0.022617090541086144,,,,0.17058823529411765,7,
2,AdaBoostClassifier,0.2118529439246429,0.2366504854368932,0.022617090541086144,,,,0.17058823529411765,5,
25,DecisionTreeClassifier,0.21137428315973766,0.2354368932038835,0.020353818323323947,,,2,0.17882352941176471,,
46,KNeighborsClassifier,0.211584899522293,0.23305588585017836,0.02484450721599967,,,,0.16470588235294117,,3
27,DecisionTreeClassifier,0.21637974221410777,0.2316043425814234,0.023643494509583775,,,4,0.16941176470588235,,
1,AdaBoostClassifier,0.20606185577940556,0.22815533980582525,0.020294384434435028,,,,0.17058823529411765,3,
33,DecisionTreeClassifier,0.20814166560395259,0.22451456310679613,0.013978934950522139,,1,5,0.18823529411764706,,
32,DecisionTreeClassifier,0.20814166560395259,0.22451456310679613,0.013978934950522139,,1,4,0.18823529411764706,,
31,DecisionTreeClassifier,0.20814166560395259,0.22451456310679613,0.013978934950522139,,1,3,0.18823529411764706,,
30,DecisionTreeClassifier,0.20814166560395259,0.22451456310679613,0.013978934950522139,,1,2,0.18823529411764706,,
29,DecisionTreeClassifier,0.20814166560395259,0.22451456310679613,0.013978934950522139,,1,1,0.18823529411764706,,
0,AdaBoostClassifier,0.20814166560395259,0.22451456310679613,0.013978934950522139,,,,0.18823529411764706,1,
44,KNeighborsClassifier,0.20321915727769024,0.22330097087378642,0.022880647418789275,,,,0.16,,1
26,DecisionTreeClassifier,0.19556289115822595,0.21712907117008443,0.02071980047539356,,,3,0.15764705882352942,,
24,DecisionTreeClassifier,0.19138614207836846,0.2087378640776699,0.012687110596948565,,,1,0.17647058823529413,,
18,GradientBoostingClassifier,0.045358242443482036,0.062424969987995196,0.013502236093540586,1.0,,,0.027348394768133173,5,
16,GradientBoostingClassifier,0.045358242443482036,0.062424969987995196,0.013502236093540586,1.0,,,0.027348394768133173,1,
17,GradientBoostingClassifier,0.045358242443482036,0.062424969987995196,0.013502236093540586,1.0,,,0.027348394768133173,3,
23,GradientBoostingClassifier,0.045358242443482036,0.062424969987995196,0.013502236093540586,1.0,,,0.027348394768133173,15,
19,GradientBoostingClassifier,0.045358242443482036,0.062424969987995196,0.013502236093540586,1.0,,,0.027348394768133173,7,
20,GradientBoostingClassifier,0.045358242443482036,0.062424969987995196,0.013502236093540586,1.0,,,0.027348394768133173,9,
21,GradientBoostingClassifier,0.045358242443482036,0.062424969987995196,0.013502236093540586,1.0,,,0.027348394768133173,11,
22,GradientBoostingClassifier,0.045358242443482036,0.062424969987995196,0.013502236093540586,1.0,,,0.027348394768133173,13,
14,GradientBoostingClassifier,0.04391766621298984,0.055222088835534214,0.011892837128428285,0.8,,,0.027348394768133173,13,
13,GradientBoostingClassifier,0.04391766621298984,0.055222088835534214,0.011892837128428285,0.8,,,0.027348394768133173,11,
12,GradientBoostingClassifier,0.04391766621298984,0.055222088835534214,0.011892837128428285,0.8,,,0.027348394768133173,9,
11,GradientBoostingClassifier,0.04391766621298984,0.055222088835534214,0.011892837128428285,0.8,,,0.027348394768133173,7,
10,GradientBoostingClassifier,0.04391766621298984,0.055222088835534214,0.011892837128428285,0.8,,,0.027348394768133173,5,
9,GradientBoostingClassifier,0.04391766621298984,0.055222088835534214,0.011892837128428285,0.8,,,0.027348394768133173,3,
8,GradientBoostingClassifier,0.04391766621298984,0.055222088835534214,0.011892837128428285,0.8,,,0.027348394768133173,1,
15,GradientBoostingClassifier,0.04391766621298984,0.055222088835534214,0.011892837128428285,0.8,,,0.027348394768133173,15,
,,,,,,,,,,
