,estimator,mean_score,max_score,std_score,base_estimator__criterion,base_estimator__max_depth,base_estimator__min_samples_leaf,base_estimator__splitter,max_depth,min_samples_leaf,min_score,n_estimators,n_neighbors
296,AdaBoostClassifier,0.4794268910731212,0.5644171779141104,0.057628338322544374,gini,3,4,random,,,0.4087665647298675,1,
179,AdaBoostClassifier,0.459052463821498,0.5552147239263804,0.10863602435153412,gini,2,2,best,,,0.24668705402650357,7,
163,AdaBoostClassifier,0.4533440030671656,0.5552147239263804,0.11981941035753335,gini,2,1,best,,,0.218144750254842,7,
195,AdaBoostClassifier,0.4584408430263909,0.5552147239263804,0.10845526901700067,gini,2,3,best,,,0.24668705402650357,7,
178,AdaBoostClassifier,0.4782288726826353,0.5541922290388548,0.08982587520102571,gini,2,2,best,,,0.30275229357798167,5,
194,AdaBoostClassifier,0.4770056310924211,0.5541922290388548,0.08958320846426268,gini,2,3,best,,,0.30275229357798167,5,
225,AdaBoostClassifier,0.5135038065806988,0.5541922290388548,0.025488543001539136,gini,2,5,best,,,0.4750254841997961,3,
226,AdaBoostClassifier,0.47741337828915925,0.5541922290388548,0.08965675313196544,gini,2,5,best,,,0.30275229357798167,5,
176,AdaBoostClassifier,0.5108569927661503,0.5541922290388548,0.028993133488307912,gini,2,2,best,,,0.46992864424057085,1,
210,AdaBoostClassifier,0.47741337828915925,0.5541922290388548,0.08965675313196544,gini,2,4,best,,,0.30275229357798167,5,
209,AdaBoostClassifier,0.5135038065806988,0.5541922290388548,0.025488543001539136,gini,2,4,best,,,0.4750254841997961,3,
208,AdaBoostClassifier,0.5108569927661503,0.5541922290388548,0.028993133488307912,gini,2,4,best,,,0.46992864424057085,1,
160,AdaBoostClassifier,0.5108569927661503,0.5541922290388548,0.028993133488307912,gini,2,1,best,,,0.46992864424057085,1,
161,AdaBoostClassifier,0.5135038065806988,0.5541922290388548,0.025488543001539136,gini,2,1,best,,,0.4750254841997961,3,
162,AdaBoostClassifier,0.4782288726826353,0.5541922290388548,0.08982587520102571,gini,2,1,best,,,0.30275229357798167,5,
193,AdaBoostClassifier,0.5137076801790676,0.5541922290388548,0.025428566362761022,gini,2,3,best,,,0.4750254841997961,3,
224,AdaBoostClassifier,0.5108569927661503,0.5541922290388548,0.028993133488307912,gini,2,5,best,,,0.46992864424057085,1,
192,AdaBoostClassifier,0.5108569927661503,0.5541922290388548,0.028993133488307912,gini,2,3,best,,,0.46992864424057085,1,
177,AdaBoostClassifier,0.5135038065806988,0.5541922290388548,0.025488543001539136,gini,2,2,best,,,0.4750254841997961,3,
330,DecisionTreeClassifier,0.5108569927661503,0.5541922290388548,0.028993133488307912,,,,,2,1,0.46992864424057085,,
331,DecisionTreeClassifier,0.5108569927661503,0.5541922290388548,0.028993133488307912,,,,,2,2,0.46992864424057085,,
332,DecisionTreeClassifier,0.5108569927661503,0.5541922290388548,0.028993133488307912,,,,,2,3,0.46992864424057085,,
333,DecisionTreeClassifier,0.5108569927661503,0.5541922290388548,0.028993133488307912,,,,,2,4,0.46992864424057085,,
334,DecisionTreeClassifier,0.5108569927661503,0.5541922290388548,0.028993133488307912,,,,,2,5,0.46992864424057085,,
