,estimator,mean_score,max_score,std_score,base_estimator__criterion,base_estimator__max_depth,base_estimator__min_samples_leaf,base_estimator__splitter,max_depth,min_samples_leaf,min_score,n_estimators,n_neighbors
126,AdaBoostClassifier,0.2220827374508565,0.3162901307966706,0.059393914188019654,gini,1,3,random,,,0.15529411764705883,13,
185,AdaBoostClassifier,0.23721880222441621,0.29975728155339804,0.04996928982983486,gini,2,2,random,,,0.14823529411764705,3,
93,AdaBoostClassifier,0.23557044650519227,0.28883495145631066,0.029869190097271042,gini,1,1,random,,,0.2011764705882353,11,
264,AdaBoostClassifier,0.24200270762515902,0.28180737217598095,0.032582819489872766,gini,3,2,random,,,0.18588235294117647,1,
110,AdaBoostClassifier,0.2422943332920208,0.28180737217598095,0.03728657164547586,gini,1,2,random,,,0.1811764705882353,13,
338,DecisionTreeClassifier,0.2603452529948694,0.2815533980582524,0.016316188297329916,,,,,3,4,0.2388235294117647,,
335,DecisionTreeClassifier,0.2603452529948694,0.2815533980582524,0.016316188297329916,,,,,3,1,0.2388235294117647,,
336,DecisionTreeClassifier,0.2603452529948694,0.2815533980582524,0.016316188297329916,,,,,3,2,0.2388235294117647,,
304,AdaBoostClassifier,0.2603452529948694,0.2815533980582524,0.016316188297329916,gini,3,5,best,,,0.2388235294117647,1,
272,AdaBoostClassifier,0.2603452529948694,0.2815533980582524,0.016316188297329916,gini,3,3,best,,,0.2388235294117647,1,
339,DecisionTreeClassifier,0.2603452529948694,0.2815533980582524,0.016316188297329916,,,,,3,5,0.2388235294117647,,
233,AdaBoostClassifier,0.22090805222976018,0.2815533980582524,0.03771509916916904,gini,2,5,random,,,0.16566626650660263,3,
288,AdaBoostClassifier,0.2603452529948694,0.2815533980582524,0.016316188297329916,gini,3,4,best,,,0.2388235294117647,1,
240,AdaBoostClassifier,0.2603452529948694,0.2815533980582524,0.016316188297329916,gini,3,1,best,,,0.2388235294117647,1,
256,AdaBoostClassifier,0.2603452529948694,0.2815533980582524,0.016316188297329916,gini,3,2,best,,,0.2388235294117647,1,
337,DecisionTreeClassifier,0.2603452529948694,0.2815533980582524,0.016316188297329916,,,,,3,3,0.2388235294117647,,
312,AdaBoostClassifier,0.2513840308082368,0.2806183115338882,0.03312275751366248,gini,3,5,random,,,0.18941176470588236,1,
248,AdaBoostClassifier,0.23345416241762806,0.2806183115338882,0.026800863283931938,gini,3,1,random,,,0.20352941176470588,1,
201,AdaBoostClassifier,0.23117011468463478,0.2794292508917955,0.03278852282502392,gini,2,3,random,,,0.18352941176470589,3,
