,estimator,mean_score,max_score,std_score,learning_rate,max_depth,min_samples_leaf,min_score,n_estimators,n_neighbors
36,DecisionTreeClassifier,0.5108569927661503,0.5541922290388548,0.028993133488307912,,2,3,0.46992864424057085,,
37,DecisionTreeClassifier,0.5108569927661503,0.5541922290388548,0.028993133488307912,,2,4,0.46992864424057085,,
35,DecisionTreeClassifier,0.5108569927661503,0.5541922290388548,0.028993133488307912,,2,2,0.46992864424057085,,
34,DecisionTreeClassifier,0.5108569927661503,0.5541922290388548,0.028993133488307912,,2,1,0.46992864424057085,,
38,DecisionTreeClassifier,0.5108569927661503,0.5541922290388548,0.028993133488307912,,2,5,0.46992864424057085,,
18,GradientBoostingClassifier,0.4973650517973461,0.5418367346938775,0.028245775718133668,1.0,,,0.4658511722731906,5,
9,GradientBoostingClassifier,0.4965455970947693,0.5408163265306123,0.03162806903605677,0.8,,,0.4648318042813456,3,
17,GradientBoostingClassifier,0.49880426105265097,0.5336734693877551,0.030009403714371045,1.0,,,0.4566768603465851,3,
42,DecisionTreeClassifier,0.5100162687915263,0.5286298568507157,0.015879412128159083,,3,4,0.49031600407747195,,
40,DecisionTreeClassifier,0.5100162687915263,0.5286298568507157,0.015879412128159083,,3,2,0.49031600407747195,,
41,DecisionTreeClassifier,0.5100162687915263,0.5286298568507157,0.015879412128159083,,3,3,0.49031600407747195,,
43,DecisionTreeClassifier,0.5100162687915263,0.5286298568507157,0.015879412128159083,,3,5,0.49031600407747195,,
39,DecisionTreeClassifier,0.5100162687915263,0.5286298568507157,0.015879412128159083,,3,1,0.49031600407747195,,
11,GradientBoostingClassifier,0.48532276519170364,0.5214723926380368,0.025543194140693157,0.8,,,0.45565749235474007,7,
19,GradientBoostingClassifier,0.4902284522747017,0.5204498977505112,0.022102324872200207,1.0,,,0.46381243628950053,7,
10,GradientBoostingClassifier,0.4885901580384129,0.5194274028629857,0.027383788144804622,0.8,,,0.45158002038735984,5,
8,GradientBoostingClassifier,0.4771109079267061,0.5173469387755102,0.025854023717333304,0.8,,,0.4386503067484663,1,
13,GradientBoostingClassifier,0.4793998032225405,0.5122699386503068,0.023891358241926643,0.8,,,0.4444444444444444,11,
21,GradientBoostingClassifier,0.48103495652402534,0.5102040816326531,0.023999788038825184,1.0,,,0.44648318042813456,11,
14,GradientBoostingClassifier,0.48082942120395183,0.50920245398773,0.020066949245730825,0.8,,,0.45769622833843016,13,
12,GradientBoostingClassifier,0.4800101707068073,0.50920245398773,0.024000707424303862,0.8,,,0.4454638124362895,9,
20,GradientBoostingClassifier,0.4869562554952001,0.5081632653061224,0.021373691612008024,1.0,,,0.45769622833843016,9,
22,GradientBoostingClassifier,0.48511597656079,0.5030674846625767,0.017601328615444292,1.0,,,0.46279306829765543,13,
15,GradientBoostingClassifier,0.4824581139560757,0.503061224489796,0.01752038826825157,0.8,,,0.4597349643221203,15,
23,GradientBoostingClassifier,0.47102764469326874,0.49795918367346936,0.020922298617701587,1.0,,,0.44648318042813456,15,
27,DecisionTreeClassifier,0.42713897341079365,0.47648261758691207,0.03210063758856029,,,4,0.3873598369011213,,
28,DecisionTreeClassifier,0.434905559454603,0.47648261758691207,0.027990772649836383,,,5,0.40061162079510704,,
26,DecisionTreeClassifier,0.42123643581370185,0.4723926380368098,0.04193529727205667,,,3,0.35575942915392456,,
1,AdaBoostClassifier,0.4436448142604821,0.4703476482617587,0.022499800576949443,,,,0.4059304703476483,3,
2,AdaBoostClassifier,0.4411958295635096,0.4662576687116564,0.022520489020209,,,,0.4059304703476483,5,
16,GradientBoostingClassifier,0.44302109812236934,0.4658511722731906,0.02289113610898943,1.0,,,0.401840490797546,1,
7,AdaBoostClassifier,0.42468144271648356,0.4652351738241309,0.030817626520138024,,,,0.3781855249745158,15,
5,AdaBoostClassifier,0.4271279258969118,0.4652351738241309,0.02731600744462112,,,,0.3904179408766565,11,
4,AdaBoostClassifier,0.4259046843066977,0.4652351738241309,0.029016545341796603,,,,0.3843017329255861,9,
3,AdaBoostClassifier,0.43161314506103,0.4652351738241309,0.0223008602941816,,,,0.4059304703476483,7,
6,AdaBoostClassifier,0.4271279258969118,0.4652351738241309,0.02731600744462112,,,,0.3904179408766565,13,
24,DecisionTreeClassifier,0.4177647545763394,0.4560327198364008,0.03483141156159672,,,1,0.3690112130479103,,
0,AdaBoostClassifier,0.4302022897299855,0.4489795918367347,0.030193116046788756,,,,0.37104994903160043,1,
33,DecisionTreeClassifier,0.4302022897299855,0.4489795918367347,0.030193116046788756,,1,5,0.37104994903160043,,
32,DecisionTreeClassifier,0.4302022897299855,0.4489795918367347,0.030193116046788756,,1,4,0.37104994903160043,,
31,DecisionTreeClassifier,0.4302022897299855,0.4489795918367347,0.030193116046788756,,1,3,0.37104994903160043,,
30,DecisionTreeClassifier,0.4302022897299855,0.4489795918367347,0.030193116046788756,,1,2,0.37104994903160043,,
29,DecisionTreeClassifier,0.4302022897299855,0.4489795918367347,0.030193116046788756,,1,1,0.37104994903160043,,
25,DecisionTreeClassifier,0.4095887583378035,0.4447852760736196,0.02943645286798243,,,2,0.37410805300713557,,
45,KNeighborsClassifier,0.3906097701833777,0.4437627811860941,0.033219821815682546,,,,0.3486238532110092,,2
44,KNeighborsClassifier,0.4003846439046529,0.43149284253578735,0.019890142833062303,,,,0.3761467889908257,,1
46,KNeighborsClassifier,0.3754691358166501,0.3967280163599182,0.01662375132548728,,,,0.3476044852191641,,3
